rgi_id,rate,gla_area,longitude,latitude
RGI60-13.00761,0.182,36.251,94.635,30.633
RGI60-13.00777,0.991,5.293,94.395,30.634
RGI60-13.00838,0.79,6.881,94.25,30.179
RGI60-13.00951,1.842,4.471,94.899,30.462
RGI60-13.00956,0.324,4.227,94.863,30.493
RGI60-13.00964,0.209,24.445,94.708,30.413
RGI60-13.00999,2.025,6.796,94.426,30.46
RGI60-13.01211,0.584,6.789,94.567,30.678
RGI60-13.01228,0.341,31.988,94.719,30.592
RGI60-13.01328,0.36,5.419,94.921,30.57
RGI60-13.01391,0.396,5.036,94.931,29.82
RGI60-13.01500,0.97,8.941,94.841,29.83
RGI60-13.01804,0.095,10.266,94.359,30.626
RGI60-13.01871,0.05,8.95,93.456,30.502
RGI60-13.01980,0.301,5.319,94.035,30.359
RGI60-13.02348,1.472,4.134,93.156,30.333
RGI60-13.02446,0.165,4.179,93.412,30.189
RGI60-13.02800,0.984,5.469,93.496,30.512
RGI60-13.02829,0.81,5.848,93.543,30.486
RGI60-13.02850,0.597,7.363,93.626,30.466
RGI60-13.03307,0.087,4.403,93.765,30.89
RGI60-15.01077,0.026,28.593,95.119,30.628
RGI60-15.01141,0.151,16.255,95.059,29.584
RGI60-15.11492,0.23,4.312,96.462,29.721
RGI60-15.11963,0.793,4.433,96.908,29.288
RGI60-15.12065,1.087,5.561,95.903,29.561
RGI60-15.12111,0.054,4.009,96.034,29.47
RGI60-15.12116,0.649,10.369,96.069,29.486
RGI60-15.12246,0.891,8.369,96.076,29.383
RGI60-15.12404,0.258,10.761,96.101,29.528
RGI60-15.12435,1.385,9.419,96.297,29.445
RGI60-15.12439,0.092,5.109,96.309,29.393
RGI60-15.12535,0.818,6.778,96.559,29.135
RGI60-15.12553,2.031,6.639,96.623,29.291
RGI60-15.12566,2.217,17.969,96.651,29.259
RGI60-15.12579,0.808,5.931,96.669,29.227
RGI60-15.12587,0.694,11.493,96.684,29.188
RGI60-15.12624,0.043,5.012,96.875,29.118
